"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка ответа при клике на вопрос","345","test_important_questions[Fifth Question Test Case]","tests","Sun Jan 26 15:06:30 GMT+03:00 2025","passed","Sun Jan 26 15:06:30 GMT+03:00 2025","TestImportantQuestionsPage","test_important_questions_page","",""
"Проверка ответа при клике на вопрос","345","test_important_questions[Sixth Question Test Case]","tests","Sun Jan 26 15:06:30 GMT+03:00 2025","passed","Sun Jan 26 15:06:30 GMT+03:00 2025","TestImportantQuestionsPage","test_important_questions_page","",""
"Переход с главной страницы на главную страницу Дзена","1554","test_passage_to_dzen","tests","Sun Jan 26 15:06:56 GMT+03:00 2025","passed","Sun Jan 26 15:06:58 GMT+03:00 2025","TestPassagePage","test_passage_to_page","",""
"Переход со страницы заказа на главную страницу","481","test_passage_to_scooter","tests","Sun Jan 26 15:06:56 GMT+03:00 2025","passed","Sun Jan 26 15:06:56 GMT+03:00 2025","TestPassagePage","test_passage_to_page","",""
"Заказ самоката»","3635","test_open_input_data_order_page[First Order Test Case]","tests","Sun Jan 26 15:06:40 GMT+03:00 2025","passed","Sun Jan 26 15:06:43 GMT+03:00 2025","TestOrderPage","test_order_page","",""
"Проверка ответа при клике на вопрос","363","test_important_questions[Second Question Test Case]","tests","Sun Jan 26 15:06:29 GMT+03:00 2025","passed","Sun Jan 26 15:06:29 GMT+03:00 2025","TestImportantQuestionsPage","test_important_questions_page","",""
"Проверка ответа при клике на вопрос","355","test_important_questions[Third Question Test Case]","tests","Sun Jan 26 15:06:29 GMT+03:00 2025","passed","Sun Jan 26 15:06:29 GMT+03:00 2025","TestImportantQuestionsPage","test_important_questions_page","",""
"Проверка ответа при клике на вопрос","357","test_important_questions[Fourth Question Test Case]","tests","Sun Jan 26 15:06:29 GMT+03:00 2025","passed","Sun Jan 26 15:06:30 GMT+03:00 2025","TestImportantQuestionsPage","test_important_questions_page","",""
"Проверка ответа при клике на вопрос","348","test_important_questions[Seventh Question Test Case]","tests","Sun Jan 26 15:06:30 GMT+03:00 2025","passed","Sun Jan 26 15:06:31 GMT+03:00 2025","TestImportantQuestionsPage","test_important_questions_page","",""
"Заказ самоката»","3514","test_open_input_data_order_page[Second Order Test Case]","tests","Sun Jan 26 15:06:43 GMT+03:00 2025","passed","Sun Jan 26 15:06:47 GMT+03:00 2025","TestOrderPage","test_order_page","",""
"Проверка ответа при клике на вопрос","368","test_important_questions[First Question Test Case]","tests","Sun Jan 26 15:06:28 GMT+03:00 2025","passed","Sun Jan 26 15:06:29 GMT+03:00 2025","TestImportantQuestionsPage","test_important_questions_page","",""
"Проверка ответа при клике на вопрос","354","test_important_questions[Eighth Question Test Case]","tests","Sun Jan 26 15:06:31 GMT+03:00 2025","passed","Sun Jan 26 15:06:31 GMT+03:00 2025","TestImportantQuestionsPage","test_important_questions_page","",""
